,id,date,zipcode,season,price,Median Price,condition,status,profit
0,7129300520,2014-10-13,98178,fall,221900.0,275000.0,3,Buy,53100.0
2,5631500400,2015-02-25,98028,winter,180000.0,433000.0,3,Buy,253000.0
4,1954400510,2015-02-18,98074,winter,510000.0,625000.0,3,Buy,115000.0
6,1321400060,2014-06-27,98003,summer,257500.0,263750.0,3,Buy,6250.0
8,2414600126,2015-04-15,98146,spring,229500.0,295000.0,3,Buy,65500.0
9,3793500160,2015-03-12,98038,spring,323000.0,326992.0,3,Buy,3992.0
16,1875500060,2014-07-31,98019,summer,395000.0,402750.0,3,Buy,7750.0
22,7137970340,2014-07-03,98092,summer,285000.0,297300.0,3,Buy,12300.0
23,8091400200,2014-05-16,98030,spring,252700.0,280000.0,3,Buy,27300.0
28,5101402488,2014-06-24,98115,summer,438000.0,560750.0,3,Buy,122750.0
31,2426039314,2014-12-01,98133,winter,280000.0,375000.0,3,Buy,95000.0
34,7955080270,2014-12-03,98058,winter,322500.0,329000.0,3,Buy,6500.0
46,8945200830,2015-03-25,98023,spring,210490.0,265500.0,3,Buy,55010.0
50,5245600105,2014-09-16,98148,fall,228000.0,274000.0,3,Buy,46000.0
63,9528102996,2014-12-07,98115,winter,549000.0,560750.0,3,Buy,11750.0
64,1189001180,2014-06-03,98122,summer,425000.0,557500.0,3,Buy,132500.0
76,4036801170,2014-10-13,98008,fall,380000.0,535900.0,3,Buy,155900.0
77,2391600320,2015-04-20,98116,spring,480000.0,558000.0,3,Buy,78000.0
82,9418400240,2014-10-28,98118,fall,355000.0,365500.0,3,Buy,10500.0
83,1523059105,2015-01-28,98059,winter,356000.0,423000.0,3,Buy,67000.0
84,1133000671,2014-06-02,98125,summer,315000.0,422000.0,3,Buy,107000.0
89,3869900162,2014-09-04,98136,fall,335000.0,485000.0,3,Buy,150000.0
90,2791500270,2014-05-22,98023,spring,243500.0,265500.0,3,Buy,22000.0
92,4168000060,2015-02-26,98023,winter,153000.0,265500.0,3,Buy,112500.0
93,6021501535,2014-07-25,98117,summer,430000.0,541000.0,3,Buy,111000.0
96,3422049190,2015-03-30,98032,spring,247500.0,249000.0,3,Buy,1500.0
113,6126500060,2014-11-24,98108,fall,329950.0,345000.0,3,Buy,15050.0
116,3362400431,2014-06-26,98103,summer,518500.0,549500.0,3,Buy,31000.0
118,3454800060,2015-01-08,98168,winter,171800.0,235000.0,3,Buy,63200.0
121,6675500070,2014-11-19,98034,fall,391500.0,440000.0,3,Buy,48500.0
122,3626039187,2015-04-06,98117,spring,395000.0,541000.0,3,Buy,146000.0
127,8732020310,2014-07-17,98023,summer,260000.0,265500.0,3,Buy,5500.0
129,7853210060,2015-04-06,98065,spring,430000.0,506950.0,3,Buy,76950.0
133,8929000270,2014-05-12,98029,spring,453246.0,564800.0,3,Buy,111554.0
136,3655000070,2014-08-05,98003,summer,220000.0,263750.0,3,Buy,43750.0
138,3992700335,2014-07-07,98125,summer,382500.0,422000.0,3,Buy,39500.0
139,2767603505,2014-05-07,98107,spring,519950.0,529475.0,3,Buy,9525.0
140,4232901525,2014-06-27,98119,summer,665000.0,685000.0,3,Buy,20000.0
149,1994200024,2014-11-04,98103,fall,511000.0,549500.0,3,Buy,38500.0
150,3362900810,2014-08-20,98103,summer,532170.0,549500.0,3,Buy,17330.0
158,8029200135,2014-11-13,98022,fall,247000.0,251500.0,3,Buy,4500.0
160,84000105,2014-05-07,98146,spring,255000.0,295000.0,3,Buy,40000.0
161,3756500060,2015-03-09,98034,spring,438000.0,440000.0,3,Buy,2000.0
165,2558660270,2014-12-08,98034,winter,370000.0,440000.0,3,Buy,70000.0
172,1999700045,2014-05-02,98133,spring,313000.0,375000.0,3,Buy,62000.0
175,7234600798,2015-02-10,98122,winter,425000.0,557500.0,3,Buy,132500.0
176,3881900445,2014-07-09,98144,summer,399950.0,446800.0,3,Buy,46850.0
177,2254502445,2014-05-30,98122,spring,385000.0,557500.0,3,Buy,172500.0
179,9158100075,2015-01-07,98177,winter,330000.0,506000.0,3,Buy,176000.0
180,3830630310,2014-07-25,98030,summer,260000.0,280000.0,3,Buy,20000.0
183,6661200320,2014-07-23,98038,summer,163500.0,326992.0,3,Buy,163492.0
187,1954440060,2014-05-05,98074,spring,560000.0,625000.0,3,Buy,65000.0
189,1115810060,2014-12-05,98052,winter,585188.0,600000.0,3,Buy,14812.0
190,9477200200,2014-08-18,98034,summer,305000.0,440000.0,3,Buy,135000.0
191,1432600560,2014-11-05,98058,fall,166950.0,329000.0,3,Buy,162050.0
194,3996900125,2014-12-01,98155,winter,230000.0,367500.0,3,Buy,137500.0
195,7796450200,2014-05-15,98023,spring,256883.0,265500.0,3,Buy,8617.0
202,7551300060,2014-07-16,98107,summer,470000.0,529475.0,3,Buy,59475.0
207,7465900060,2015-02-05,98116,winter,425000.0,558000.0,3,Buy,133000.0
208,1222000055,2014-11-23,98166,fall,180250.0,363405.0,3,Buy,183155.0
210,2310030510,2015-04-22,98038,spring,320000.0,326992.0,3,Buy,6992.0
212,8677300550,2014-05-15,98074,spring,592500.0,625000.0,3,Buy,32500.0
220,5611500140,2014-08-22,98075,summer,686000.0,741000.0,3,Buy,55000.0
226,8682281200,2015-03-09,98053,spring,479950.0,558500.0,3,Buy,78550.0
229,7202340400,2015-03-03,98053,spring,516500.0,558500.0,3,Buy,42000.0
233,943100260,2014-11-20,98024,fall,213000.0,337500.0,3,Buy,124500.0
237,7228500560,2015-03-20,98122,spring,410000.0,557500.0,3,Buy,147500.0
241,8150100045,2014-10-01,98126,fall,210000.0,399000.0,3,Buy,189000.0
247,7899800890,2015-02-26,98106,winter,181000.0,315000.0,3,Buy,134000.0
253,1105000588,2015-04-21,98118,spring,349500.0,365500.0,3,Buy,16000.0
254,3830630060,2014-09-29,98030,fall,245000.0,280000.0,3,Buy,35000.0
258,9407100800,2014-11-24,98045,fall,255000.0,345000.0,3,Buy,90000.0
263,1400300055,2015-04-28,98144,spring,425000.0,446800.0,3,Buy,21800.0
266,3438500192,2014-09-29,98106,fall,285000.0,315000.0,3,Buy,30000.0
267,7974200510,2014-08-14,98115,summer,415000.0,560750.0,3,Buy,145750.0
273,2976800796,2014-09-25,98178,fall,236000.0,275000.0,3,Buy,39000.0
274,4235400186,2014-11-24,98199,fall,331000.0,651000.0,3,Buy,320000.0
281,6874200960,2015-02-27,98178,winter,170000.0,275000.0,3,Buy,105000.0
287,6647200060,2015-02-09,98034,winter,405000.0,440000.0,3,Buy,35000.0
288,9552700140,2014-07-02,98006,summer,675000.0,697450.0,3,Buy,22450.0
296,5468730030,2014-08-22,98042,summer,265000.0,280000.0,3,Buy,15000.0
303,5104530560,2015-04-01,98038,spring,208633.0,326992.0,3,Buy,118359.0
307,8651520400,2014-06-12,98074,summer,610750.0,625000.0,3,Buy,14250.0
315,1328320800,2014-11-05,98058,fall,305000.0,329000.0,3,Buy,24000.0
319,4337000335,2014-11-22,98166,fall,268750.0,363405.0,3,Buy,94655.0
321,2597650240,2014-10-23,98027,fall,520000.0,573475.0,3,Buy,53475.0
322,3353400435,2014-07-21,98001,summer,230000.0,256000.0,3,Buy,26000.0
323,7972000240,2015-02-02,98023,winter,240000.0,265500.0,3,Buy,25500.0
324,7520000520,2014-09-05,98146,fall,232000.0,295000.0,3,Buy,63000.0
325,7520000520,2015-03-11,98146,spring,240500.0,295000.0,3,Buy,54500.0
335,5009600070,2014-10-07,98038,fall,260000.0,326992.0,3,Buy,66992.0
338,405100295,2014-08-26,98133,summer,265000.0,375000.0,3,Buy,110000.0
339,4268200055,2015-05-01,98178,spring,245000.0,275000.0,3,Buy,30000.0
345,3969300030,2014-07-23,98178,summer,165000.0,275000.0,3,Buy,110000.0
346,3969300030,2014-12-29,98178,winter,239900.0,275000.0,3,Buy,35100.0
351,2757000030,2014-09-22,98040,fall,855000.0,876650.0,3,Buy,21650.0
356,5416510830,2014-08-06,98038,summer,300000.0,326992.0,3,Buy,26992.0
363,925059078,2014-08-19,98033,summer,604950.0,630000.0,3,Buy,25050.0
369,3291800710,2014-11-20,98056,fall,338000.0,375000.0,3,Buy,37000.0
370,6838700060,2014-12-04,98056,winter,280000.0,375000.0,3,Buy,95000.0
374,8155830060,2014-08-11,98056,summer,297000.0,375000.0,3,Buy,78000.0
375,98020310,2014-05-20,98075,spring,730000.0,741000.0,3,Buy,11000.0
377,1545804860,2014-10-27,98038,fall,275000.0,326992.0,3,Buy,51992.0
379,7132300695,2015-04-21,98144,spring,435000.0,446800.0,3,Buy,11800.0
382,808300310,2015-03-13,98019,spring,389000.0,402750.0,3,Buy,13750.0
383,8563040160,2015-01-21,98052,winter,560000.0,600000.0,3,Buy,40000.0
387,2460700700,2014-05-15,98058,spring,252350.0,329000.0,3,Buy,76650.0
389,2890100060,2014-08-01,98177,summer,385000.0,506000.0,3,Buy,121000.0
400,9126100861,2015-03-06,98122,spring,557000.0,557500.0,3,Buy,500.0
404,8856950240,2014-06-18,98038,summer,322500.0,326992.0,3,Buy,4492.0
406,7821200390,2014-08-06,98103,summer,450000.0,549500.0,3,Buy,99500.0
407,8078520310,2015-04-17,98092,spring,278500.0,297300.0,3,Buy,18800.0
410,6700400140,2015-03-18,98031,spring,268000.0,282000.0,3,Buy,14000.0
418,8724300030,2014-12-23,98019,winter,355000.0,402750.0,3,Buy,47750.0
420,625049299,2014-12-03,98103,winter,482000.0,549500.0,3,Buy,67500.0
424,7942600310,2014-07-17,98122,summer,375000.0,557500.0,3,Buy,182500.0
428,3754700160,2014-05-06,98034,spring,397000.0,440000.0,3,Buy,43000.0
433,646910160,2014-09-03,98055,fall,237000.0,294000.0,3,Buy,57000.0
438,9528102772,2014-07-08,98115,summer,438000.0,560750.0,3,Buy,122750.0
441,8159610030,2014-07-22,98001,summer,196000.0,256000.0,3,Buy,60000.0
445,1774000200,2014-12-02,98072,winter,400000.0,440000.0,3,Buy,40000.0
451,3775300030,2014-12-31,98011,winter,333500.0,470000.0,3,Buy,136500.0
462,8944290160,2014-11-04,98031,fall,230000.0,282000.0,3,Buy,52000.0
464,7282300125,2014-11-12,98133,fall,330000.0,375000.0,3,Buy,45000.0
475,3629920030,2014-08-08,98029,summer,520000.0,564800.0,3,Buy,44800.0
477,6844700810,2014-09-01,98115,fall,438924.0,560750.0,3,Buy,121826.0
478,66000070,2015-04-06,98126,spring,315000.0,399000.0,3,Buy,84000.0
479,6665800030,2014-07-18,98033,summer,590000.0,630000.0,3,Buy,40000.0
480,2205700350,2014-11-04,98006,fall,378500.0,697450.0,3,Buy,318950.0
