,id,date,zipcode,season,price,Median Price,condition,status
0,7129300520,2014-10-13,98178,fall,221900.0,275000.0,3,Buy
2,5631500400,2015-02-25,98028,winter,180000.0,433000.0,3,Buy
4,1954400510,2015-02-18,98074,winter,510000.0,625000.0,3,Buy
6,1321400060,2014-06-27,98003,summer,257500.0,263750.0,3,Buy
8,2414600126,2015-04-15,98146,spring,229500.0,295000.0,3,Buy
9,3793500160,2015-03-12,98038,spring,323000.0,326992.0,3,Buy
16,1875500060,2014-07-31,98019,summer,395000.0,402750.0,3,Buy
22,7137970340,2014-07-03,98092,summer,285000.0,297300.0,3,Buy
23,8091400200,2014-05-16,98030,spring,252700.0,280000.0,3,Buy
28,5101402488,2014-06-24,98115,summer,438000.0,560750.0,3,Buy
31,2426039314,2014-12-01,98133,winter,280000.0,375000.0,3,Buy
34,7955080270,2014-12-03,98058,winter,322500.0,329000.0,3,Buy
46,8945200830,2015-03-25,98023,spring,210490.0,265500.0,3,Buy
50,5245600105,2014-09-16,98148,fall,228000.0,274000.0,3,Buy
63,9528102996,2014-12-07,98115,winter,549000.0,560750.0,3,Buy
64,1189001180,2014-06-03,98122,summer,425000.0,557500.0,3,Buy
76,4036801170,2014-10-13,98008,fall,380000.0,535900.0,3,Buy
77,2391600320,2015-04-20,98116,spring,480000.0,558000.0,3,Buy
82,9418400240,2014-10-28,98118,fall,355000.0,365500.0,3,Buy
83,1523059105,2015-01-28,98059,winter,356000.0,423000.0,3,Buy
84,1133000671,2014-06-02,98125,summer,315000.0,422000.0,3,Buy
89,3869900162,2014-09-04,98136,fall,335000.0,485000.0,3,Buy
90,2791500270,2014-05-22,98023,spring,243500.0,265500.0,3,Buy
92,4168000060,2015-02-26,98023,winter,153000.0,265500.0,3,Buy
93,6021501535,2014-07-25,98117,summer,430000.0,541000.0,3,Buy
96,3422049190,2015-03-30,98032,spring,247500.0,249000.0,3,Buy
113,6126500060,2014-11-24,98108,fall,329950.0,345000.0,3,Buy
116,3362400431,2014-06-26,98103,summer,518500.0,549500.0,3,Buy
118,3454800060,2015-01-08,98168,winter,171800.0,235000.0,3,Buy
121,6675500070,2014-11-19,98034,fall,391500.0,440000.0,3,Buy
122,3626039187,2015-04-06,98117,spring,395000.0,541000.0,3,Buy
127,8732020310,2014-07-17,98023,summer,260000.0,265500.0,3,Buy
129,7853210060,2015-04-06,98065,spring,430000.0,506950.0,3,Buy
133,8929000270,2014-05-12,98029,spring,453246.0,564800.0,3,Buy
136,3655000070,2014-08-05,98003,summer,220000.0,263750.0,3,Buy
138,3992700335,2014-07-07,98125,summer,382500.0,422000.0,3,Buy
139,2767603505,2014-05-07,98107,spring,519950.0,529475.0,3,Buy
140,4232901525,2014-06-27,98119,summer,665000.0,685000.0,3,Buy
149,1994200024,2014-11-04,98103,fall,511000.0,549500.0,3,Buy
150,3362900810,2014-08-20,98103,summer,532170.0,549500.0,3,Buy
158,8029200135,2014-11-13,98022,fall,247000.0,251500.0,3,Buy
160,84000105,2014-05-07,98146,spring,255000.0,295000.0,3,Buy
161,3756500060,2015-03-09,98034,spring,438000.0,440000.0,3,Buy
165,2558660270,2014-12-08,98034,winter,370000.0,440000.0,3,Buy
172,1999700045,2014-05-02,98133,spring,313000.0,375000.0,3,Buy
175,7234600798,2015-02-10,98122,winter,425000.0,557500.0,3,Buy
176,3881900445,2014-07-09,98144,summer,399950.0,446800.0,3,Buy
177,2254502445,2014-05-30,98122,spring,385000.0,557500.0,3,Buy
179,9158100075,2015-01-07,98177,winter,330000.0,506000.0,3,Buy
180,3830630310,2014-07-25,98030,summer,260000.0,280000.0,3,Buy
183,6661200320,2014-07-23,98038,summer,163500.0,326992.0,3,Buy
187,1954440060,2014-05-05,98074,spring,560000.0,625000.0,3,Buy
189,1115810060,2014-12-05,98052,winter,585188.0,600000.0,3,Buy
190,9477200200,2014-08-18,98034,summer,305000.0,440000.0,3,Buy
191,1432600560,2014-11-05,98058,fall,166950.0,329000.0,3,Buy
194,3996900125,2014-12-01,98155,winter,230000.0,367500.0,3,Buy
195,7796450200,2014-05-15,98023,spring,256883.0,265500.0,3,Buy
202,7551300060,2014-07-16,98107,summer,470000.0,529475.0,3,Buy
207,7465900060,2015-02-05,98116,winter,425000.0,558000.0,3,Buy
208,1222000055,2014-11-23,98166,fall,180250.0,363405.0,3,Buy
210,2310030510,2015-04-22,98038,spring,320000.0,326992.0,3,Buy
212,8677300550,2014-05-15,98074,spring,592500.0,625000.0,3,Buy
220,5611500140,2014-08-22,98075,summer,686000.0,741000.0,3,Buy
226,8682281200,2015-03-09,98053,spring,479950.0,558500.0,3,Buy
229,7202340400,2015-03-03,98053,spring,516500.0,558500.0,3,Buy
233,943100260,2014-11-20,98024,fall,213000.0,337500.0,3,Buy
237,7228500560,2015-03-20,98122,spring,410000.0,557500.0,3,Buy
241,8150100045,2014-10-01,98126,fall,210000.0,399000.0,3,Buy
247,7899800890,2015-02-26,98106,winter,181000.0,315000.0,3,Buy
253,1105000588,2015-04-21,98118,spring,349500.0,365500.0,3,Buy
254,3830630060,2014-09-29,98030,fall,245000.0,280000.0,3,Buy
258,9407100800,2014-11-24,98045,fall,255000.0,345000.0,3,Buy
263,1400300055,2015-04-28,98144,spring,425000.0,446800.0,3,Buy
