,id,Region,season,Median Price,Buy Price,Sell Price,Profit
0,7129300520,98178,fall,200000.0,221900.0,244090.00000000003,22190.00000000003
2,5631500400,98028,winter,356500.0,180000.0,234000.0,54000.0
4,1954400510,98074,winter,510000.0,510000.0,561000.0,51000.0
6,1321400060,98003,summer,225000.0,257500.0,283250.0,25750.0
8,2414600126,98146,spring,236950.0,229500.0,298350.0,68850.0
9,3793500160,98038,spring,293250.0,323000.0,355300.0,32300.0
16,1875500060,98019,summer,336000.0,395000.0,434500.00000000006,39500.00000000006
22,7137970340,98092,summer,271000.0,285000.0,313500.0,28500.0
23,8091400200,98030,spring,251325.0,252700.0,277970.0,25270.0
28,5101402488,98115,summer,439000.0,438000.0,569400.0,131400.0
31,2426039314,98133,winter,307500.0,280000.0,364000.0,84000.0
34,7955080270,98058,winter,276500.0,322500.0,354750.0,32250.0
46,8945200830,98023,spring,230500.0,210490.0,273637.0,63147.0
50,5245600105,98148,fall,228000.0,228000.0,250800.00000000003,22800.00000000003
63,9528102996,98115,winter,441500.0,549000.0,603900.0,54900.0
64,1189001180,98122,summer,441000.0,425000.0,552500.0,127500.0
76,4036801170,98008,fall,465000.0,380000.0,494000.0,114000.0
77,2391600320,98116,spring,494500.0,480000.0,624000.0,144000.0
82,9418400240,98118,fall,285000.0,355000.0,390500.00000000006,35500.00000000006
83,1523059105,98059,winter,350000.0,356000.0,391600.00000000006,35600.00000000006
84,1133000671,98125,summer,355000.0,315000.0,409500.0,94500.0
89,3869900162,98136,fall,365000.0,335000.0,435500.0,100500.0
90,2791500270,98023,spring,230500.0,243500.0,267850.0,24350.0
92,4168000060,98023,winter,233387.5,153000.0,198900.0,45900.0
93,6021501535,98117,summer,440300.0,430000.0,559000.0,129000.0
96,3422049190,98032,spring,220475.0,247500.0,272250.0,24750.0
113,6126500060,98108,fall,295500.0,329950.0,362945.00000000006,32995.00000000006
116,3362400431,98103,summer,457250.0,518500.0,570350.0,51850.0
118,3454800060,98168,winter,171800.0,171800.0,188980.00000000003,17180.00000000003
121,6675500070,98034,fall,372500.0,391500.0,430650.00000000006,39150.00000000006
122,3626039187,98117,spring,460000.0,395000.0,513500.0,118500.0
127,8732020310,98023,summer,215000.0,260000.0,286000.0,26000.0
129,7853210060,98065,spring,450500.0,430000.0,559000.0,129000.0
133,8929000270,98029,spring,477000.0,453246.0,589219.8,135973.80000000005
136,3655000070,98003,summer,225000.0,220000.0,286000.0,66000.0
138,3992700335,98125,summer,355000.0,382500.0,420750.00000000006,38250.00000000006
139,2767603505,98107,spring,462550.0,519950.0,571945.0,51995.0
140,4232901525,98119,summer,525000.0,665000.0,731500.0000000001,66500.00000000012
149,1994200024,98103,fall,415475.0,511000.0,562100.0,51100.0
150,3362900810,98103,summer,457250.0,532170.0,585387.0,53217.0
158,8029200135,98022,fall,241250.0,247000.0,271700.0,24700.0
160,84000105,98146,spring,236950.0,255000.0,280500.0,25500.0
161,3756500060,98034,spring,399950.0,438000.0,481800.00000000006,43800.00000000006
165,2558660270,98034,winter,360000.0,370000.0,407000.00000000006,37000.00000000006
172,1999700045,98133,spring,306000.0,313000.0,344300.0,31300.0
175,7234600798,98122,winter,430000.0,425000.0,552500.0,127500.0
176,3881900445,98144,summer,370000.0,399950.0,439945.00000000006,39995.00000000006
177,2254502445,98122,spring,459250.0,385000.0,500500.0,115500.0
179,9158100075,98177,winter,384250.0,330000.0,429000.0,99000.0
180,3830630310,98030,summer,257000.0,260000.0,286000.0,26000.0
183,6661200320,98038,summer,290725.0,163500.0,212550.0,49050.0
187,1954440060,98074,spring,538888.0,560000.0,616000.0,56000.0
189,1115810060,98052,winter,495000.0,585188.0,643706.8,58518.80000000005
190,9477200200,98034,summer,380500.0,305000.0,396500.0,91500.0
191,1432600560,98058,fall,299500.0,166950.0,217035.0,50085.0
194,3996900125,98155,winter,325000.0,230000.0,299000.0,69000.0
195,7796450200,98023,spring,230500.0,256883.0,282571.30000000005,25688.300000000047
202,7551300060,98107,summer,489500.0,470000.0,611000.0,141000.0
207,7465900060,98116,winter,400000.0,425000.0,467500.00000000006,42500.00000000006
208,1222000055,98166,fall,279475.0,180250.0,234325.0,54075.0
210,2310030510,98038,spring,293250.0,320000.0,352000.0,32000.0
212,8677300550,98074,spring,538888.0,592500.0,651750.0,59250.0
220,5611500140,98075,summer,668000.0,686000.0,754600.0000000001,68600.00000000012
226,8682281200,98053,spring,457000.0,479950.0,527945.0,47995.0
229,7202340400,98053,spring,457000.0,516500.0,568150.0,51650.0
233,943100260,98024,fall,212500.0,213000.0,234300.00000000003,21300.00000000003
237,7228500560,98122,spring,459250.0,410000.0,533000.0,123000.0
241,8150100045,98126,fall,322475.0,210000.0,273000.0,63000.0
247,7899800890,98106,winter,238000.0,181000.0,235300.0,54300.0
253,1105000588,98118,spring,290750.0,349500.0,384450.00000000006,34950.00000000006
254,3830630060,98030,fall,240000.0,245000.0,269500.0,24500.0
258,9407100800,98045,fall,288500.0,255000.0,331500.0,76500.0
263,1400300055,98144,spring,376500.0,425000.0,467500.00000000006,42500.00000000006
266,3438500192,98106,fall,255400.0,285000.0,313500.0,28500.0
267,7974200510,98115,summer,439000.0,415000.0,539500.0,124500.0
273,2976800796,98178,fall,200000.0,236000.0,259600.00000000003,23600.00000000003
274,4235400186,98199,fall,495000.0,331000.0,430300.0,99300.0
281,6874200960,98178,winter,220673.5,170000.0,221000.0,51000.0
287,6647200060,98034,winter,360000.0,405000.0,445500.00000000006,40500.00000000006
288,9552700140,98006,summer,546500.0,675000.0,742500.0000000001,67500.00000000012
296,5468730030,98042,summer,255000.0,265000.0,291500.0,26500.0
303,5104530560,98038,spring,293250.0,208633.0,271222.9,62589.90000000002
307,8651520400,98074,summer,507000.0,610750.0,671825.0,61075.0
315,1328320800,98058,fall,299500.0,305000.0,335500.0,30500.0
319,4337000335,98166,fall,279475.0,268750.0,349375.0,80625.0
321,2597650240,98027,fall,375000.0,520000.0,572000.0,52000.0
322,3353400435,98001,summer,214100.0,230000.0,253000.00000000003,23000.00000000003
323,7972000240,98023,winter,233387.5,240000.0,264000.0,24000.0
324,7520000520,98146,fall,230000.0,232000.0,255200.00000000003,23200.00000000003
325,7520000520,98146,spring,236950.0,240500.0,264550.0,24050.0
335,5009600070,98038,fall,282000.0,260000.0,338000.0,78000.0
338,405100295,98133,summer,332750.0,265000.0,344500.0,79500.0
339,4268200055,98178,spring,229250.0,245000.0,269500.0,24500.0
345,3969300030,98178,summer,219950.0,165000.0,214500.0,49500.0
346,3969300030,98178,winter,220673.5,239900.0,263890.0,23990.0
351,2757000030,98040,fall,795500.0,855000.0,940500.0000000001,85500.00000000012
356,5416510830,98038,summer,290725.0,300000.0,330000.0,30000.0
363,925059078,98033,summer,495000.0,604950.0,665445.0,60495.0
369,3291800710,98056,fall,295000.0,338000.0,371800.00000000006,33800.00000000006
370,6838700060,98056,winter,301500.0,280000.0,364000.0,84000.0
374,8155830060,98056,summer,327500.0,297000.0,386100.0,89100.0
375,98020310,98075,spring,655000.0,730000.0,803000.0000000001,73000.00000000012
377,1545804860,98038,fall,282000.0,275000.0,357500.0,82500.0
379,7132300695,98144,spring,376500.0,435000.0,478500.00000000006,43500.00000000006
382,808300310,98019,spring,350000.0,389000.0,427900.00000000006,38900.00000000006
383,8563040160,98052,winter,495000.0,560000.0,616000.0,56000.0
387,2460700700,98058,spring,280000.0,252350.0,328055.0,75705.0
389,2890100060,98177,summer,413000.0,385000.0,500500.0,115500.0
400,9126100861,98122,spring,459250.0,557000.0,612700.0,55700.0
404,8856950240,98038,summer,290725.0,322500.0,354750.0,32250.0
406,7821200390,98103,summer,457250.0,450000.0,585000.0,135000.0
407,8078520310,98092,spring,264000.0,278500.0,306350.0,27850.0
410,6700400140,98031,spring,259950.0,268000.0,294800.0,26800.0
418,8724300030,98019,winter,325000.0,355000.0,390500.00000000006,35500.00000000006
420,625049299,98103,winter,430000.0,482000.0,530200.0,48200.0
424,7942600310,98122,summer,441000.0,375000.0,487500.0,112500.0
428,3754700160,98034,spring,399950.0,397000.0,516100.0,119100.0
433,646910160,98055,fall,237000.0,237000.0,260700.00000000003,23700.00000000003
438,9528102772,98115,summer,439000.0,438000.0,569400.0,131400.0
441,8159610030,98001,summer,214100.0,196000.0,254800.0,58800.0
445,1774000200,98072,winter,407500.0,400000.0,520000.0,120000.0
451,3775300030,98011,winter,403000.0,333500.0,433550.0,100050.0
462,8944290160,98031,fall,247500.0,230000.0,299000.0,69000.0
464,7282300125,98133,fall,313750.0,330000.0,363000.00000000006,33000.00000000006
475,3629920030,98029,summer,482499.0,520000.0,572000.0,52000.0
477,6844700810,98115,fall,447500.0,438924.0,570601.2000000001,131677.20000000007
478,66000070,98126,spring,302900.0,315000.0,346500.0,31500.0
479,6665800030,98033,summer,495000.0,590000.0,649000.0,59000.0
480,2205700350,98006,fall,472800.0,378500.0,492050.0,113550.0
487,1895000260,98118,summer,280000.0,207950.0,270335.0,62385.0
488,8691370400,98075,winter,682000.0,699900.0,769890.0000000001,69990.00000000012
494,1727500340,98034,summer,380500.0,397500.0,437250.00000000006,39750.00000000006
495,9828702519,98112,spring,628875.0,490000.0,637000.0,147000.0
499,7852030960,98065,fall,435000.0,437500.0,481250.00000000006,43750.00000000006
501,7518503335,98117,spring,460000.0,475000.0,522500.00000000006,47500.00000000006
505,5379805885,98188,spring,217500.0,240000.0,264000.0,24000.0
513,2827100070,98133,fall,313750.0,290000.0,377000.0,87000.0
521,1180003090,98178,fall,200000.0,190000.0,247000.0,57000.0
524,7453000070,98126,summer,326000.0,275000.0,357500.0,82500.0
528,6381500700,98125,fall,365000.0,365000.0,401500.00000000006,36500.00000000006
530,1545807610,98038,spring,293250.0,270500.0,351650.0,81150.0
531,1843200240,98092,spring,264000.0,200000.0,260000.0,60000.0
536,6204420070,98011,spring,416500.0,452000.0,497200.00000000006,45200.00000000006
538,5466410030,98042,spring,246750.0,249000.0,273900.0,24900.0
541,2270000070,98056,fall,295000.0,280000.0,364000.0,84000.0
547,7899800860,98106,spring,274800.0,259950.0,337935.0,77985.0
557,236400320,98188,summer,233000.0,238000.0,261800.00000000003,23800.00000000003
564,5307100060,98005,winter,596000.0,638700.0,702570.0,63870.0
565,7203102050,98053,summer,437000.0,435000.0,565500.0,130500.0
568,809002765,98109,fall,610000.0,610000.0,671000.0,61000.0
571,98020350,98075,winter,682000.0,720000.0,792000.0000000001,72000.00000000012
574,2473360060,98058,winter,276500.0,263500.0,342550.0,79050.0
583,3876300310,98034,fall,372500.0,439000.0,482900.00000000006,43900.00000000006
585,192460060,98045,summer,308881.0,330000.0,363000.00000000006,33000.00000000006
592,2781280390,98055,spring,234650.0,290000.0,319000.0,29000.0
593,9542830350,98038,fall,282000.0,296000.0,325600.0,29600.0
596,3278600240,98126,summer,326000.0,372500.0,409750.00000000006,37250.00000000006
600,8682250350,98053,fall,449500.0,507000.0,557700.0,50700.0
602,4233400340,98010,summer,224000.0,185000.0,240500.0,55500.0
603,7199350340,98052,summer,498000.0,460000.0,598000.0,138000.0
604,3904901710,98029,winter,475975.0,435500.0,566150.0,130650.0
606,6865200444,98103,spring,411725.0,531000.0,584100.0,53100.0
607,9498200046,98177,winter,384250.0,443500.0,487850.00000000006,44350.00000000006
608,1796380960,98042,fall,240000.0,223000.0,289900.0,66900.0
610,3126049411,98103,winter,430000.0,340000.0,442000.0,102000.0
616,6600700030,98052,spring,513000.0,525000.0,577500.0,52500.0
617,3904930240,98029,fall,448250.0,485000.0,533500.0,48500.0
618,9407110700,98045,winter,274500.0,175000.0,227500.0,52500.0
619,1682500160,98092,summer,271000.0,210000.0,273000.0,63000.0
620,8078570390,98031,spring,259950.0,260000.0,286000.0,26000.0
628,7010700292,98199,fall,495000.0,543500.0,597850.0,54350.0
634,9550204515,98105,fall,542000.0,542000.0,596200.0,54200.0
635,7199330390,98052,summer,498000.0,415000.0,539500.0,124500.0
640,4315700060,98136,spring,399000.0,378000.0,491400.0,113400.0
644,7852180340,98065,fall,435000.0,430000.0,559000.0,129000.0
645,1545804340,98038,spring,293250.0,240000.0,312000.0,72000.0
647,2218000335,98105,summer,545000.0,530000.0,689000.0,159000.0
650,4338800370,98166,fall,279475.0,220000.0,286000.0,66000.0
652,3226200105,98118,spring,290750.0,325000.0,357500.0,32500.0
654,7849202231,98065,summer,419000.0,337000.0,438100.0,101100.0
657,2985800030,98105,spring,505000.0,495000.0,643500.0,148500.0
661,9412200260,98027,fall,375000.0,496500.0,546150.0,49650.0
663,6798100662,98125,spring,344000.0,312000.0,405600.0,93600.0
664,1775920350,98072,fall,385000.0,323000.0,419900.0,96900.0
665,2525500260,98059,fall,355000.0,331000.0,430300.0,99300.0
666,6145600041,98133,spring,306000.0,306000.0,336600.0,30600.0
677,3348401740,98178,winter,220673.5,188000.0,244400.0,56400.0
678,3013300288,98136,fall,365000.0,478500.0,526350.0,47850.0
684,5102400105,98115,fall,447500.0,400000.0,520000.0,120000.0
688,1566100400,98115,fall,447500.0,387500.0,503750.0,116250.0
689,1775800800,98072,winter,407500.0,396000.0,514800.0,118800.0
693,8024200350,98115,spring,470000.0,410000.0,533000.0,123000.0
695,7697870860,98030,summer,257000.0,245000.0,318500.0,73500.0
701,1895000045,98118,spring,290750.0,195000.0,253500.0,58500.0
703,7011200260,98119,winter,585000.0,485000.0,630500.0,145500.0
704,41000454,98188,summer,233000.0,130000.0,169000.0,39000.0
714,2988000070,98011,spring,416500.0,405000.0,526500.0,121500.0
720,3793500550,98038,summer,290725.0,289950.0,376935.0,86985.0
727,1932300075,98126,fall,322475.0,245000.0,318500.0,73500.0
728,2525000510,98059,fall,355000.0,328000.0,426400.0,98400.0
731,2723089104,98045,fall,288500.0,315000.0,346500.0,31500.0
739,8159610060,98001,fall,211775.0,233000.0,256300.00000000003,23300.00000000003
741,1588600045,98117,winter,410000.0,459000.0,504900.00000000006,45900.00000000006
743,1771000890,98077,fall,337750.0,305000.0,396500.0,91500.0
744,3300701170,98117,summer,440300.0,395000.0,513500.0,118500.0
749,1138020200,98034,fall,372500.0,435000.0,478500.00000000006,43500.00000000006
750,3432500200,98155,spring,299975.0,329999.0,362998.9,32999.90000000002
761,6379500159,98116,fall,439108.0,400000.0,520000.0,120000.0
772,226039214,98177,summer,413000.0,465250.0,511775.00000000006,46525.00000000006
773,1623300160,98117,spring,460000.0,450000.0,585000.0,135000.0
777,3814400125,98122,fall,432500.0,493000.0,542300.0,49300.0
782,1139000069,98133,fall,313750.0,320000.0,352000.0,32000.0
786,2688100071,98117,spring,460000.0,500000.0,550000.0,50000.0
798,7852020640,98065,fall,435000.0,470000.0,517000.00000000006,47000.00000000006
802,7940700260,98034,winter,360000.0,422120.0,464332.00000000006,42212.00000000006
804,4365200860,98126,summer,326000.0,385200.0,423720.00000000006,38520.00000000006
805,3904980030,98029,spring,477000.0,500000.0,550000.0,50000.0
811,7234600903,98122,fall,432500.0,419000.0,544700.0,125700.0
812,4307350200,98056,spring,320000.0,347000.0,381700.00000000006,34700.00000000006
816,4057300200,98029,winter,475975.0,310000.0,403000.0,93000.0
819,1565900070,98022,summer,214995.0,246500.0,271150.0,24650.0
825,4006000251,98118,summer,280000.0,226000.0,293800.0,67800.0
827,1610000016,98168,fall,205000.0,175000.0,227500.0,52500.0
828,7376300060,98008,spring,485000.0,465750.0,605475.0,139725.0
836,8682262400,98053,summer,437000.0,430000.0,559000.0,129000.0
837,8682262400,98053,spring,457000.0,419950.0,545935.0,125985.0
841,6450303785,98133,fall,313750.0,320000.0,352000.0,32000.0
844,108000127,98177,winter,384250.0,456500.0,502150.00000000006,45650.00000000006
848,7197350070,98052,spring,513000.0,512000.0,665600.0,153600.0
850,3905081070,98029,spring,477000.0,535800.0,589380.0,53580.0
852,5637500070,98136,summer,386750.0,438000.0,481800.00000000006,43800.00000000006
855,3056800160,98059,summer,335000.0,370500.0,407550.00000000006,37050.00000000006
856,3654800200,98038,fall,282000.0,265000.0,344500.0,79500.0
862,6403310060,98033,summer,495000.0,539900.0,593890.0,53990.0
864,4137050060,98092,fall,259500.0,280000.0,308000.0,28000.0
867,8665050060,98029,summer,482499.0,457500.0,594750.0,137250.0
871,4039300400,98007,fall,448325.0,469950.0,516945.00000000006,46995.00000000006
876,8802400416,98031,winter,252500.0,147500.0,191750.0,44250.0
